soc_id,var_id,code,pref_name_for_society,title,category,description,name,climate_id,climate_code,climate_title
Ac41,EA202,NA,Makonde,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,24.34536594,Mean value of monthly temperature across the year
Ac42,EA202,8e+05,Makua,Population size,Population,NA,NA,AnnualMeanTemperature,22.43630099,Mean value of monthly temperature across the year
Ac43,EA202,25000,Mambwe,Population size,Population,NA,NA,AnnualMeanTemperature,24.72892709,Mean value of monthly temperature across the year
Ac5,EA202,70000,Lamba,Population size,Population,NA,NA,AnnualMeanTemperature,17.72439901,Mean value of monthly temperature across the year
Ac6,EA202,63000,Ndembu,Population size,Population,NA,NA,AnnualMeanTemperature,18.27702447,Mean value of monthly temperature across the year
Ac7,EA202,360000,Yao,Population size,Population,NA,NA,AnnualMeanTemperature,19.97813924,Mean value of monthly temperature across the year
Ac8,EA202,170000,Yombe,Population size,Population,NA,NA,AnnualMeanTemperature,24.517755,Mean value of monthly temperature across the year
Ac9,EA202,85000,Ngoni,Population size,Population,NA,NA,AnnualMeanTemperature,19.35548731,Mean value of monthly temperature across the year
Ad1,EA202,2000,Bajuni,Population size,Population,NA,NA,AnnualMeanTemperature,26.50230954,Mean value of monthly temperature across the year
Ad10,EA202,220000,Shambaa,Population size,Population,NA,NA,AnnualMeanTemperature,19.71290072,Mean value of monthly temperature across the year
Ad11,EA202,16000,Bena,Population size,Population,NA,NA,AnnualMeanTemperature,18.96882822,Mean value of monthly temperature across the year
Ad12,EA202,238000,Gusii,Population size,Population,NA,NA,AnnualMeanTemperature,19.01833323,Mean value of monthly temperature across the year
Ad13,EA202,1e+05,Kiga,Population size,Population,NA,NA,AnnualMeanTemperature,16.5840068,Mean value of monthly temperature across the year
Ad14,EA202,2e+05,Luguru,Population size,Population,NA,NA,AnnualMeanTemperature,23.71426423,Mean value of monthly temperature across the year
Ad15,EA202,12250,Iwa,Population size,Population,NA,NA,AnnualMeanTemperature,17.78161791,Mean value of monthly temperature across the year
Ad16,EA202,62000,Ngonde,Population size,Population,NA,NA,AnnualMeanTemperature,17.86562429,Mean value of monthly temperature across the year
Ad17,EA202,45000,Safwa,Population size,Population,NA,NA,AnnualMeanTemperature,18.78014775,Mean value of monthly temperature across the year
Ad18,EA202,NA,Bende,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,19.75072025,Mean value of monthly temperature across the year
Ad19,EA202,15000,Fipa,Population size,Population,NA,NA,AnnualMeanTemperature,18.8485176,Mean value of monthly temperature across the year
Ad2,EA202,110000,Nyoro,Population size,Population,NA,NA,AnnualMeanTemperature,22.58232846,Mean value of monthly temperature across the year
Ad20,EA202,NA,Nyamwezi,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,21.0289127,Mean value of monthly temperature across the year
Ad21,EA202,11000,Pimbwe,Population size,Population,NA,NA,AnnualMeanTemperature,19.75072025,Mean value of monthly temperature across the year
Ad22,EA202,1e+06,Sukuma,Population size,Population,NA,NA,AnnualMeanTemperature,20.38207686,Mean value of monthly temperature across the year
Ad23,EA202,NA,Sangu,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,18.35477335,Mean value of monthly temperature across the year
Ad24,EA202,110000,Gogo,Population size,Population,NA,NA,AnnualMeanTemperature,19.45864995,Mean value of monthly temperature across the year
Ad25,EA202,80000,Rangi,Population size,Population,NA,NA,AnnualMeanTemperature,18.1173012,Mean value of monthly temperature across the year
Ad26,EA202,145000,Turu,Population size,Population,NA,NA,AnnualMeanTemperature,20.18565869,Mean value of monthly temperature across the year
Ad27,EA202,40000,Kwere,Population size,Population,NA,NA,AnnualMeanTemperature,24.29898087,Mean value of monthly temperature across the year
Ad28,EA202,135000,Zigula,Population size,Population,NA,NA,AnnualMeanTemperature,22.35964917,Mean value of monthly temperature across the year
Ad29,EA202,1e+05,Hadimu,Population size,Population,NA,NA,AnnualMeanTemperature,24.44982029,Mean value of monthly temperature across the year
Ad3,EA202,237000,Chagga,Population size,Population,NA,NA,AnnualMeanTemperature,19.05085088,Mean value of monthly temperature across the year
Ad30,EA202,112000,Digo,Population size,Population,NA,NA,AnnualMeanTemperature,22.78186938,Mean value of monthly temperature across the year
Ad31,EA202,37000,Duruma,Population size,Population,NA,NA,AnnualMeanTemperature,22.78186938,Mean value of monthly temperature across the year
Ad32,EA202,120000,Giriama,Population size,Population,NA,NA,AnnualMeanTemperature,25.38725483,Mean value of monthly temperature across the year
Ad33,EA202,20000,Pokomo,Population size,Population,NA,NA,AnnualMeanTemperature,26.0927353,Mean value of monthly temperature across the year
Ad34,EA202,6e+05,Kamba,Population size,Population,NA,NA,AnnualMeanTemperature,19.36225098,Mean value of monthly temperature across the year
Ad35,EA202,255000,Meru,Population size,Population,NA,NA,AnnualMeanTemperature,19.39983749,Mean value of monthly temperature across the year
Ad36,EA202,1e+05,Pare,Population size,Population,NA,NA,AnnualMeanTemperature,19.06855405,Mean value of monthly temperature across the year
Ad37,EA202,60000,Teita,Population size,Population,NA,NA,AnnualMeanTemperature,22.78186938,Mean value of monthly temperature across the year
Ad38,EA202,20000,Kara,Population size,Population,NA,NA,AnnualMeanTemperature,19.86225588,Mean value of monthly temperature across the year
Ad39,EA202,4500,Sonjo,Population size,Population,NA,NA,AnnualMeanTemperature,18.93683164,Mean value of monthly temperature across the year
Ad4,EA202,1026300,Kikuyu,Population size,Population,NA,NA,AnnualMeanTemperature,17.92150919,Mean value of monthly temperature across the year
Ad40,EA202,40000,Tiriki,Population size,Population,NA,NA,AnnualMeanTemperature,19.39983749,Mean value of monthly temperature across the year
Ad41,EA202,50000,Vugusu,Population size,Population,NA,NA,AnnualMeanTemperature,20.56682952,Mean value of monthly temperature across the year
Ad42,EA202,325000,Haya,Population size,Population,NA,NA,AnnualMeanTemperature,18.62068702,Mean value of monthly temperature across the year
Ad43,EA202,40000,Kerewe,Population size,Population,NA,NA,AnnualMeanTemperature,20.81277014,Mean value of monthly temperature across the year
Ad44,EA202,375000,Konjo,Population size,Population,NA,NA,AnnualMeanTemperature,16.96009344,Mean value of monthly temperature across the year
Ad45,EA202,520000,Nyankole,Population size,Population,NA,NA,AnnualMeanTemperature,18.59548568,Mean value of monthly temperature across the year
Ad46,EA202,425000,Soga,Population size,Population,NA,NA,AnnualMeanTemperature,22.46618099,Mean value of monthly temperature across the year
Ad47,EA202,76000,Sumbwa,Population size,Population,NA,NA,AnnualMeanTemperature,21.22908819,Mean value of monthly temperature across the year
Ad48,EA202,2e+05,Toro,Population size,Population,NA,NA,AnnualMeanTemperature,20.79007683,Mean value of monthly temperature across the year
Ad49,EA202,55000,Zinza,Population size,Population,NA,NA,AnnualMeanTemperature,17.48945439,Mean value of monthly temperature across the year
Ad5,EA202,7500,Mbugwe,Population size,Population,NA,NA,AnnualMeanTemperature,18.43543188,Mean value of monthly temperature across the year
Ad50,EA202,87000,Kaguru,Population size,Population,NA,NA,AnnualMeanTemperature,20.30485763,Mean value of monthly temperature across the year
